source,edge,label
1056,624,3
1056,391,3
1056,1056,3
1056,2043,3
1056,1868,3
1055,1481,1
1058,1092,1
28,1391,0
30,1696,0
29,451,0
29,1504,0
29,111,0
32,1402,0
32,1197,4
31,1516,4
32,210,4
32,772,4
30,800,4
33,1623,4
32,2061,4
33,48,5
32,1545,5
406,1189,0
406,1981,0
406,498,0
406,1877,0
407,1070,0
1757,450,1
1050,650,1
1060,1299,1
1061,910,0
1061,292,0
1061,2006,0
1062,892,0
1061,755,0
1063,767,0
1391,1695,0
1390,1505,0
1393,120,0
1391,536,0
1390,731,0
1391,1468,0
1391,327,0
1390,260,0
1063,861,5
1064,1979,5
1063,1064,5
1066,1241,5
1061,866,5
33,1624,1
1065,916,2
1032,317,3
1035,1737,3
1032,650,3
1067,337,1
857,1779,0
35,1102,0
36,345,0
34,719,0
38,1131,2
37,1502,2
37,2014,2
36,505,2
1068,98,1
1067,695,1
1067,1399,1
1069,1687,1
1068,1872,1
34,341,0
38,1687,0
37,1381,0
38,1209,0
38,365,0
36,228,0
36,1178,0
37,1455,1
40,1420,1
39,1499,1
39,465,1
38,944,1
41,1097,0
39,585,0
39,987,0
40,1761,0
41,1844,0
1069,43,4
1072,299,4
1071,197,4
1074,2015,4
1073,1798,4
1073,1782,4
1075,1575,4
40,1109,1
41,686,1
2030,380,1
2031,488,1
2029,1911,1
2030,737,1
1571,1247,5
1571,1636,5
1571,1625,5
1571,746,5
1571,1792,5
1070,431,0
1077,220,0
1072,478,0
1073,326,0
1076,2029,0
1074,878,0
1073,627,0
1074,220,0
1075,935,0
1073,158,0
1072,1209,0
857,2017,0
1075,1959,0
1074,1134,0
43,571,5
41,1776,5
1077,1942,4
1075,1889,4
1075,717,4
42,954,4
43,810,4
42,1709,3
44,372,3
42,1120,3
1079,673,1
1078,626,1
1079,1278,1
1078,68,1
1083,650,1
48,1445,3
46,394,3
45,572,3
1081,2041,5
1080,728,5
1080,1155,1
49,1980,4
49,1956,4
1083,896,3
1083,1465,3
45,1070,0
48,1624,0
44,1189,0
46,428,0
1084,375,3
1205,52,0
1208,1810,0
1203,363,0
51,1360,0
52,595,3
53,855,3
52,2056,3
53,1207,3
1086,1435,1
1083,1437,1
1087,777,5
1088,1901,5
1088,2002,5
1090,2017,5
1760,1762,3
1763,1096,3
1091,279,3
155,1922,4
156,614,4
155,722,4
155,996,4
157,1354,4
154,656,4
151,1519,4
155,1613,4
155,1099,4
157,150,4
154,473,4
155,1554,4
1094,1091,3
1091,1261,3
1090,277,3
1092,1043,3
863,974,5
1576,1263,0
1575,795,0
1997,1603,0
1996,505,0
1996,256,0
1998,1451,0
1995,585,0
1996,1097,0
1997,1796,0
1997,707,0
1999,1100,0
1997,249,0
1996,1477,0
1996,1846,0
1995,1753,0
1996,1004,0
1762,2085,1
1766,35,1
1093,1528,0
1094,1716,4
990,529,1
1096,231,5
1098,1526,5
1094,761,5
1098,1789,5
1097,1677,0
1096,969,0
1097,886,0
1097,1389,0
1097,248,0
1097,259,0
1094,1807,0
1097,1691,0
1098,157,0
1096,1955,0
1098,745,0
1096,2020,0
1098,506,0
1097,567,0
1097,1603,0
1097,1450,0
1097,1529,0
1097,1183,0
1098,345,0
1097,1477,0
1096,1561,0
1097,1756,0
1097,74,0
1098,1002,0
1578,233,0
1578,1903,0
1757,1621,3
1756,871,3
1393,336,5
1393,1166,5
1100,1746,4
1099,408,4
1098,465,4
1099,617,4
1098,674,4
1097,1200,4
1101,1877,4
1099,811,4
1097,90,4
1099,1507,4
54,769,4
53,83,4
1101,506,0
1100,1603,0
1099,1846,0
1099,1451,0
1101,343,0
1101,1317,0
1102,251,0
1099,2010,0
1104,1477,0
1103,964,0
1098,1757,0
1208,933,5
56,1145,0
53,534,0
54,1779,0
55,611,0
53,1883,0
55,814,0
1104,305,0
1102,343,0
1102,585,0
1100,1796,0
1101,1180,0
57,1403,1
57,1971,1
1768,983,2
1768,1241,2
1765,493,2
1102,305,0
1102,340,0
1104,713,0
1099,97,0
1104,877,0
1104,516,0
1107,667,5
1105,390,5
1104,363,5
1105,1085,5
1106,947,5
58,1492,3
58,532,2
1104,1250,0
1102,844,0
1105,1738,0
1109,646,1
1107,1512,1
1107,903,1
1108,34,1
60,1784,4
160,2046,0
159,114,0
159,1663,0
160,1668,0
157,510,0
159,1776,0
161,725,0
161,1979,0
160,726,0
158,1855,0
160,1750,0
60,1773,5
59,1963,5
59,1608,5
59,279,5
1106,1238,0
1108,945,0
1211,528,0
61,446,0
1112,1532,2
325,1546,4
322,118,4
61,1652,1
1110,1906,0
1112,1721,0
62,570,0
65,493,0
1213,459,3
1217,2012,3
1212,1384,3
1214,1638,3
1212,336,3
1212,545,3
65,2057,4
63,394,4
60,297,4
63,1691,4
62,499,4
65,1954,4
64,601,0
64,411,0
66,861,1
66,2014,1
64,236,1
326,1267,0
66,670,1
67,21,1
66,646,1
67,420,1
67,34,1
67,817,1
67,625,1
67,2000,1
65,527,1
67,1235,1
67,378,1
1115,1297,1
1115,1920,1
1536,739,2
1536,1363,2
2087,1423,0
1117,919,1
1115,584,1
1713,1271,3
1116,1048,4
1117,1272,4
1115,380,4
1115,1638,4
1115,1399,4
68,2055,0
69,654,0
71,2099,3
68,1832,3
71,1662,4
74,284,4
68,1008,4
1117,1443,0
1117,387,0
1119,1788,0
1119,1325,3
1120,382,1
1120,453,1
1121,1429,3
74,276,0
72,343,0
73,1267,0
1695,649,4
1697,85,4
75,344,0
1781,378,1
1126,1270,2
1402,1511,5
1401,1795,5
1124,461,5
1125,1641,2
1125,353,2
1125,258,2
1033,1008,4
76,655,1
71,750,1
77,372,1
74,1632,1
1128,1857,0
677,941,0
676,941,0
680,276,0
674,320,0
678,1650,0
676,343,0
676,796,0
676,1133,0
1131,1972,5
1618,1735,5
1618,647,5
77,799,4
77,773,4
1133,1416,3
1130,172,3
1132,626,1
1132,274,1
1129,1726,1
1129,1573,1
1130,1109,1
1130,326,1
1130,803,1
1129,638,1
80,1425,0
78,462,0
78,984,0
78,803,4
81,1783,4
77,1958,2
82,342,0
81,1314,0
81,193,4
82,219,4
82,1813,3
82,1617,3
81,318,3
82,1731,3
80,447,4
82,193,4
1135,1407,4
1136,1656,4
80,1799,4
84,1784,4
1136,1751,1
1137,943,1
1137,848,1
85,1757,0
1415,800,3
1403,501,5
1407,1161,5
86,363,4
87,284,4
87,2055,4
85,1956,4
88,713,4
88,1331,4
1138,2087,1
1139,378,1
1141,36,1
89,123,0
87,519,0
89,1448,0
89,853,0
1581,2059,4
1581,212,4
1772,838,0
1775,247,0
1775,156,0
1774,686,0
1774,342,0
1773,1475,0
1775,1429,0
873,2038,2
90,956,0
89,1461,0
1139,539,3
1137,1075,3
1141,1932,3
1139,126,3
91,251,4
90,1281,4
92,153,4
91,1453,4
93,1713,2
95,934,2
93,1962,5
95,430,4
95,1322,4
94,1235,4
93,260,4
1143,1438,0
1142,1923,0
1143,1402,0
1139,731,0
96,533,5
97,1618,0
98,1187,0
97,450,0
96,663,0
95,1111,0
98,388,0
97,1605,0
97,539,0
1768,392,3
1767,1059,3
1767,2040,3
1144,100,1
1145,420,1
1143,1635,1
1145,1726,1
1768,231,3
1769,1430,3
1769,1932,3
1768,1980,3
1146,490,0
1145,460,0
1146,719,0
1146,742,0
1145,366,0
1148,1960,0
97,857,3
97,1004,3
97,2040,3
1045,1503,0
1042,941,0
1863,2086,5
1864,214,5
98,881,4
100,1519,4
96,207,4
1149,523,5
1145,312,5
1146,1638,5
498,2054,0
498,1444,0
495,635,0
498,662,0
499,1553,0
498,114,0
498,958,0
497,1192,0
499,1715,0
498,981,0
498,121,0
1144,397,0
1149,152,4
1149,718,4
1149,1742,4
1150,1924,4
1148,1496,4
100,825,1
100,35,1
101,1835,1
99,19,1
104,817,4
101,1356,4
103,820,3
1148,680,0
1150,432,0
1584,1663,5
1081,1194,0
1078,276,0
1084,1385,0
1081,848,0
1084,342,0
1084,1134,0
1957,206,1
1957,920,1
1957,1499,1
1149,1492,4
1152,259,4
104,651,1
104,422,1
1178,1666,4
1183,2100,4
102,106,0
105,282,0
105,343,0
107,1186,0
108,985,0
1153,1784,4
106,740,4
109,182,4
108,802,4
1153,172,1
163,240,3
167,1594,3
164,2036,3
111,160,0
109,1591,0
106,915,0
111,198,0
113,1769,0
111,140,0
111,1221,0
111,853,0
111,1209,0
110,720,0
111,1023,0
1160,468,0
1163,1980,3
1159,632,3
1158,1956,3
1160,831,3
113,116,0
110,911,0
113,1948,0
114,273,0
112,938,0
115,1653,0
113,400,0
112,1463,0
115,610,0
112,452,0
114,1524,5
115,1093,5
113,666,5
114,1114,5
113,1741,5
113,387,5
115,1603,5
114,1390,5
113,1347,0
113,221,0
116,1505,0
115,2038,0
112,482,0
116,325,0
115,588,3
116,468,3
877,1071,0
878,1740,0
876,1091,0
877,521,0
877,103,0
878,151,0
877,1315,0
874,365,0
879,1902,0
878,406,0
878,1567,0
877,2052,0
878,1945,0
877,923,0
878,1191,0
877,1789,0
876,635,0
879,281,0
878,1470,0
878,1388,0
879,1352,0
877,574,0
877,537,0
876,511,0
880,752,0
877,380,0
875,400,0
1161,1984,5
117,343,0
119,2083,0
117,1025,0
119,916,0
119,1837,4
1222,294,5
1163,1371,1
1162,657,1
1160,243,5
1164,1300,5
1166,136,5
1163,1501,5
1162,1428,5
1165,522,5
1164,435,5
1165,1578,5
1164,2089,5
1163,1666,5
1164,1011,5
1047,1928,3
1047,689,3
1047,1641,3
1049,275,3
1047,1215,3
1165,1353,1
1166,681,5
1166,434,5
1166,1866,5
118,1510,5
120,751,5
119,385,5
122,458,1
1171,1698,0
1169,469,0
1169,1564,1
122,162,0
123,857,0
123,1209,0
124,1771,0
122,1193,0
123,416,4
123,1367,4
124,139,3
124,851,3
126,1527,2
126,813,2
127,1373,1
1170,1782,2
1171,652,2
1173,1491,3
1174,1527,5
128,1075,3
127,362,3
128,604,3
127,1896,3
126,1092,3
126,184,3
126,598,3
127,1900,3
1171,998,1
1174,2072,1
1176,829,3
1176,1950,3
285,1913,4
283,280,4
282,2047,4
285,2060,4
285,735,4
284,1007,4
280,367,4
283,971,4
282,739,4
284,846,4
285,328,4
283,2108,4
285,828,4
284,1450,4
283,1985,4
1178,769,0
1178,709,0
1178,499,0
1176,362,0
1178,418,0
1180,1392,0
1179,1686,0
1179,1744,0
1182,154,0
1178,1436,0
1180,1703,0
1177,991,0
1178,1305,0
1180,762,0
1178,242,0
1178,715,0
1179,1194,0
1178,144,0
1178,1503,0
1178,167,0
1185,247,0
1177,444,0
1179,1757,0
1178,1707,0
131,919,4
130,1015,4
1784,1156,5
134,271,1
131,71,1
1181,245,3
1181,1003,3
1182,1397,3
1179,1025,3
1180,925,3
1179,1193,3
1182,1527,3
1182,659,0
1181,864,0
1185,274,0
1182,583,0
1184,1560,0
1183,343,0
1184,510,0
1186,2034,0
1185,512,0
1185,709,0
1190,394,3
1185,857,3
1749,1500,1
1687,277,0
1688,684,0
1688,1380,0
1684,1003,0
1688,798,0
1687,344,0
1188,541,0
1188,1537,0
1187,448,0
1188,847,0
1796,1596,3
1797,1566,3
1797,986,3
1187,2060,0
1190,552,0
1188,521,0
1188,1878,0
1190,2010,0
1189,199,0
1190,205,0
1190,1355,0
1192,292,0
1190,1545,0
1189,1960,1
1189,659,1
1192,256,1
175,1526,5
1411,1546,3
1412,731,3
1413,597,3
1412,519,3
134,523,5
137,1579,5
136,1528,5
136,1385,5
135,1012,5
1191,1586,0
137,1288,5
138,1241,5
137,178,5
1193,547,5
1193,1700,5
1192,1716,5
1193,522,5
1192,1220,5
1191,1029,5
1192,469,5
1193,378,5
1193,209,5
1190,665,5
1199,1788,5
1193,397,5
137,393,3
138,1267,3
1788,410,4
1789,586,4
334,1351,5
335,1734,5
334,493,5
1587,739,0
1195,648,1
1194,348,1
141,992,0
140,2052,0
141,2042,0
142,1778,0
140,2103,0
142,1509,0
142,2031,0
141,711,0
141,1704,0
142,1891,4
144,105,5
145,849,5
144,1944,5
1193,1508,5
1196,1633,1
1194,714,1
1194,1996,1
1196,1457,1
1195,1134,1
146,1626,3
1197,268,4
1196,1777,4
1197,1911,4
1195,1922,4
1197,169,0
1195,1196,0
147,717,4
149,1239,4
151,1320,4
516,709,3
1197,930,3
692,1785,4
339,1927,3
335,2011,3
338,1381,3
337,892,3
1199,277,0
1199,1233,0
1200,1924,4
2018,445,5
2019,1495,5
1796,882,4
1793,920,4
1202,1205,2
1200,1827,2
153,433,5
150,219,5
148,482,5
149,326,5
149,2032,5
149,626,5
150,219,5
151,935,5
150,159,5
149,1212,5
1590,1304,4
1590,1044,4
1589,1785,4
1591,944,4
151,708,5
146,941,5
151,270,5
153,960,0
151,1667,0
154,168,0
152,1646,0
151,730,0
153,997,4
152,631,4
153,789,4
154,1671,4
152,1615,4
153,196,4
151,785,4
149,1855,4
1209,180,4
1202,983,4
1205,1014,4
151,947,0
1207,924,5
1206,1214,5
157,1741,0
156,277,0
159,838,0
157,1651,0
158,1381,0
155,1889,0
155,978,0
156,343,0
155,481,0
156,1134,0
156,458,0
156,263,0
156,909,0
155,951,0
153,733,0
1210,1711,0
1209,225,0
1211,853,0
1209,1025,0
1210,1809,0
1211,161,0
1209,1423,0
1211,915,0
154,1601,3
156,440,3
156,430,0
158,1212,0
1213,431,0
1211,1928,3
1213,275,3
1216,823,4
1216,1376,4
1214,422,4
1216,774,4
1216,1715,4
1215,534,4
1217,990,4
1222,1552,4
1217,1285,4
1214,1882,4
1217,1069,5
1218,632,5
1220,286,5
1220,536,5
1216,103,5
1217,381,5
1219,1314,5
1219,1974,5
1218,569,5
1217,1350,5
161,1850,5
161,1591,0
161,854,0
520,1416,4
517,959,4
518,718,4
1220,1576,5
1220,1299,5
1218,1981,5
1866,611,0
1866,1915,0
162,441,1
166,1220,5
164,973,5
1224,538,0
1224,1316,0
166,1797,0
168,734,0
887,1237,1
885,764,1
1622,1230,4
1619,813,4
1621,1566,4
1624,731,4
1622,1427,4
1624,1262,4
1623,1141,4
766,404,4
766,1977,4
764,1269,4
171,1643,4
170,1727,4
170,1334,4
171,1951,0
171,928,0
173,322,0
1226,881,5
1225,899,5
172,505,0
171,255,0
176,968,0
173,1755,0
171,1389,0
173,987,0
172,2017,0
171,1796,0
170,246,0
170,263,0
172,1477,0
172,1006,0
174,462,0
172,1603,0
172,1380,2
172,397,2
1230,1629,3
1227,895,3
1227,2073,3
176,1903,0
175,2027,0
177,2106,0
1796,363,3
1795,1303,3
1796,759,3
1967,477,4
1968,1755,4
1229,345,1
1228,191,1
1226,550,1
1596,1337,0
1595,2050,0
1597,1216,0
1597,856,0
1597,750,0
1597,2007,0
1229,251,5
1227,1266,5
179,2039,0
176,528,0
1797,1746,0
1796,706,0
1797,566,0
1796,1650,0
1797,883,0
1796,1278,0
1797,1450,0
1795,1857,0
1796,1959,0
1797,1649,0
1798,829,0
1796,1805,0
1794,840,0
1797,1622,0
1797,1002,0
1228,211,5
1231,1261,4
1231,276,0
1234,1691,0
1232,1380,0
1229,363,0
1232,1561,0
1231,342,0
1232,296,0
1231,1294,4
1231,1784,4
1234,229,4
1235,1550,4
1969,1471,0
1969,1558,0
1970,503,0
1968,341,0
1234,1947,4
1233,431,4
1235,552,4
1236,1441,4
1235,1271,4
1235,261,4
1241,636,4
1236,1135,4
1235,1624,1
1236,1516,4
1237,563,4
1237,352,4
1234,1628,0
1238,679,0
1242,86,0
1239,486,0
1801,1287,1
1057,1285,5
1060,444,5
1057,1550,5
1058,1353,5
1240,538,0
1240,1319,0
182,1026,5
178,1314,5
181,1437,5
179,259,5
178,817,5
179,562,5
179,1251,5
180,1825,1
1241,1715,4
1800,1113,2
1800,1878,2
1801,1494,2
1802,1458,2
1800,1294,2
182,678,2
182,2063,2
184,1933,2
183,1222,2
181,1735,2
181,1382,2
178,1562,2
182,1276,4
810,1170,3
809,313,3
702,1271,1
186,760,3
183,309,3
184,568,5
186,2045,3
188,276,0
187,635,0
185,1651,0
186,266,0
187,1561,0
185,954,0
187,559,0
1244,1451,4
1244,2051,4
1243,361,3
1243,2069,3
1246,1675,3
1248,158,3
187,741,0
187,628,0
1804,697,5
1247,398,4
1248,1314,0
1246,244,0
1249,1765,3
1249,1292,3
1249,1760,3
189,417,4
189,1366,4
187,1252,0
189,912,0
189,845,0
189,521,0
188,1739,0
189,664,0
188,508,0
189,769,0
188,609,0
190,2043,0
1249,406,4
1248,1994,4
1249,2101,4
188,395,4
189,1389,4
191,1655,4
1252,1636,5
1251,1540,5
1973,838,5
1973,425,5
1975,1432,5
1971,470,5
1972,1597,5
1946,342,0
195,211,4
193,957,4
184,792,4
192,1612,4
193,516,4
195,220,4
1252,1445,0
194,2097,0
193,1254,0
1250,1784,4
1254,584,4
196,854,5
1255,560,5
1984,972,4
1984,1735,4
708,546,1
706,813,1
198,406,3
195,1939,3
1970,270,1
1973,1455,1
1971,956,1
1972,242,1
198,265,0
199,917,0
199,1026,0
196,1070,0
1258,1440,1
1258,894,1
1806,50,0
1806,306,0
1804,613,0
1805,1389,0
1802,849,0
1803,757,0
1803,1957,0
1256,572,3
198,1737,2
200,319,2
199,928,2
1242,1241,5
1262,1323,3
1264,607,3
198,619,5
202,485,5
362,1093,0
361,903,0
359,1379,0
363,352,0
362,768,0
363,1721,0
362,728,0
362,1983,0
361,897,0
363,1354,0
362,341,0
1265,889,0
1265,275,5
1266,2007,5
181,1487,4
1270,1642,2
1270,1678,2
1271,861,1
1271,2002,1
1271,209,1
1275,1052,1
1271,892,1
1273,1566,1
1278,661,0
1273,2052,0
1273,756,0
1977,1694,5
1975,291,5
1976,1855,5
202,1775,5
1277,2101,1
1274,1762,1
1275,1312,4
1276,668,4
1277,372,4
202,1643,4
202,753,4
1279,1889,4
1277,2024,4
1278,1923,4
1279,612,0
1280,1881,0
202,334,4
204,203,4
207,586,4
1283,1360,3
1283,670,3
205,2011,4
204,617,4
205,2108,1
208,934,2
207,1070,2
207,881,4
211,2099,4
207,674,4
207,1548,4
207,1957,4
208,1781,4
207,597,4
208,931,4
208,1799,4
209,1619,4
206,2094,4
205,743,4
210,1952,4
207,1489,4
1286,2044,3
1285,2072,5
1288,604,5
1285,531,5
1285,386,5
1285,555,5
1289,2044,3
1284,318,3
1287,370,3
1287,1759,0
203,1432,2
208,462,2
1289,743,1
210,957,4
214,1812,4
1612,2058,2
1613,214,2
212,1891,4
213,742,4
1288,560,3
213,1625,4
1048,1638,4
1050,1862,4
1428,538,0
1427,2049,0
214,919,4
898,2068,5
898,1114,5
901,605,5
899,1663,5
1289,509,0
1292,1732,0
211,1550,3
216,1648,3
218,2085,4
1295,1784,4
1294,1204,2
1296,341,2
1294,1970,2
1296,672,1
1294,518,1
1296,241,5
1298,2088,5
1297,1503,5
1296,526,5
1297,1526,5
1297,1581,5
1296,1667,5
1297,2056,4
1301,1974,4
346,536,0
218,2028,0
219,1517,4
1301,880,1
1301,688,1
1525,1322,3
1526,1974,3
1525,1357,3
1897,1641,3
1897,276,3
221,481,0
220,1368,0
222,1678,0
221,1692,0
1809,1837,4
1303,231,3
1308,1154,3
1304,1963,3
1304,759,3
1302,308,3
1302,1463,3
221,2070,3
38,684,1
35,2000,1
35,2088,1
34,286,1
222,910,1
223,271,1
1306,1046,4
1301,475,4
1307,947,4
1306,1881,4
226,1884,1
1308,2105,1
226,1517,4
226,717,4
1067,1385,3
1067,1927,3
1069,2012,3
1065,276,3
227,1076,3
227,1951,3
228,489,3
228,1981,3
1310,930,3
1309,585,3
1309,1929,3
1309,1996,3
1310,648,3
1309,646,3
612,2075,3
1659,1653,1
1657,1620,1
1657,1552,1
1658,1920,1
1659,939,1
228,789,4
1811,283,5
1808,967,5
231,370,1
2027,607,3
1311,1928,4
1312,1130,4
1432,839,2
1431,1598,2
1432,1422,2
1311,508,3
234,1933,3
234,760,3
234,739,5
230,1350,0
234,1899,0
1315,2050,3
1314,392,3
1316,991,0
1316,1094,0
2037,416,0
2039,1696,0
2038,1846,0
1317,539,3
1316,634,3
1319,483,0
239,1918,2
235,337,4
238,1406,4
1320,515,3
1321,1732,3
1321,864,3
1320,1691,3
1243,1816,5
238,2088,5
242,1432,5
242,1578,5
244,1666,5
1323,430,4
1323,1488,4
1322,1489,4
1322,1341,4
1322,555,4
243,839,0
241,342,0
244,1650,0
242,1943,0
242,976,0
242,629,0
241,952,0
237,480,0
1607,927,4
1325,947,3
1325,253,3
2103,859,3
2105,1006,3
246,1834,0
246,711,0
245,1421,0
245,573,0
245,403,0
247,799,0
248,1378,0
249,631,0
248,343,0
246,1135,0
1327,1462,0
248,1449,0
249,2009,0
252,848,0
252,342,0
245,1847,0
250,1220,5
247,514,5
1067,522,5
1070,549,5
1069,2058,5
1070,1360,5
1070,2010,5
1070,1546,5
252,778,4
253,1519,4
1328,793,0
1329,1394,0
1331,651,4
1070,328,0
1070,1848,0
1070,469,0
1069,772,0
1332,978,0
1334,1664,0
1335,726,0
1333,1643,4
1336,1730,4
255,1993,5
254,1525,5
1334,1782,4
1334,257,4
1336,725,1
1338,1768,1
259,277,0
667,2105,1
665,1631,1
1722,963,3
1723,1724,3
262,1026,0
261,917,0
1337,1650,1
264,357,0
263,1612,0
264,1697,0
265,787,0
265,904,0
264,1142,0
266,618,0
264,1362,0
265,1672,0
264,462,0
1339,1448,0
1340,635,0
1341,752,0
1340,552,1
266,351,4
265,2071,4
264,804,4
266,2073,5
1343,794,4
1346,1484,4
1342,1123,4
1344,1351,5
269,915,0
273,342,0
269,1026,0
1345,883,1
1349,632,5
1347,2064,5
1343,1752,5
272,883,1
270,1435,1
188,947,0
192,529,0
1318,256,0
1316,987,0
1317,1847,0
273,615,1
272,1372,1
272,1259,1
1505,1203,5
1507,473,5
273,793,0
274,1948,0
1347,749,4
1345,259,4
1349,1833,4
1350,493,5
1353,545,0
1350,634,0
1350,2051,0
1350,1904,0
1347,752,0
1351,514,5
1351,1550,5
1349,886,5
1351,725,5
1351,733,5
1353,341,5
1986,792,0
276,399,0
276,884,0
277,1381,0
276,938,0
275,414,0
278,563,0
276,1633,0
276,295,0
277,1600,0
277,1306,0
276,1650,0
274,840,0
275,830,0
280,1177,0
277,977,0
277,1996,0
279,318,0
277,1389,0
276,1134,0
275,840,0
279,1898,0
276,536,0
277,656,0
278,1457,0
276,1426,0
1350,437,1
1333,1617,4
1333,580,4
1354,1808,3
1357,1925,4
1356,554,4
1359,916,4
1356,257,4
1358,668,2
2049,243,0
2044,341,0
276,1409,0
281,551,0
278,1684,0
276,1952,1
1932,748,5
898,1673,3
283,1385,3
282,350,3
283,1817,5
287,294,5
284,1355,1
279,741,1
1360,1089,4
1359,1921,4
1077,538,3
1076,236,3
286,757,5
284,1447,5
288,523,5
287,647,5
286,1839,5
285,589,5
286,922,5
286,385,5
287,967,5
356,343,0
354,350,0
288,549,4
289,2075,4
288,1518,4
288,1338,1
290,1636,5
290,722,1
290,2048,1
1822,1619,4
1822,960,4
1077,608,3
1361,1692,3
292,2009,0
295,1135,0
292,1380,0
292,342,0
1362,1445,3
1364,394,3
294,1690,3
297,392,3
298,1974,3
1363,1913,1
298,1382,1
298,1263,1
1107,615,1
1109,817,1
1108,1719,1
1108,1154,1
303,584,5
299,884,5
300,615,0
301,305,0
302,341,0
298,755,0
300,652,3
1988,926,5
1989,2031,5
1990,2082,5
1989,1927,5
1992,1028,5
302,1452,5
194,551,2
303,774,4
305,929,4
303,2016,4
1370,1370,1
304,651,1
356,359,1
359,2058,1
359,657,1
307,341,0
306,883,0
307,1889,0
306,1865,0
305,1391,0
305,2017,0
306,1959,0
307,1744,0
303,968,0
304,568,0
305,449,0
305,841,0
306,612,0
305,1529,0
306,344,0
305,1858,0
1255,1785,4
1254,612,4
1256,1811,4
695,1399,1
1374,1511,5
1621,734,0
1621,342,0
1622,1673,0
1371,943,4
305,1640,3
1375,1784,4
308,880,4
309,1418,4
306,258,4
308,523,5
310,1636,5
308,448,5
309,1599,5
1378,797,3
1376,632,3
1375,840,3
311,742,3
309,252,3
309,1926,3
49,1808,0
49,635,0
49,496,0
46,1474,0
47,849,0
47,345,0
48,1904,0
50,1692,0
1380,706,0
1379,725,0
1380,967,0
1381,1997,0
1379,687,0
1379,1392,0
1381,1632,0
1380,1881,0
1382,563,0
1380,1306,0
1382,1559,0
1381,1457,0
1380,1651,0
1378,836,0
1380,1390,0
1380,1135,0
1380,480,0
1378,1428,0
1378,2091,0
1381,718,0
1380,1512,0
1380,658,0
1381,841,0
1380,952,0
1379,1896,0
311,1876,4
315,886,4
1382,1478,0
1382,64,0
1380,1779,0
1383,1881,0
1384,1891,0
1383,1670,0
1382,889,0
1859,134,0
314,1646,2
310,675,0
318,342,0
314,516,3
316,486,3
1254,343,0
316,601,3
317,108,3
315,1328,3
317,723,3
315,1737,3
197,1741,4
198,773,4
1386,1010,5
49,755,4
53,1785,4
1386,1020,4
1385,1360,4
1382,715,4
1388,761,4
548,1815,3
1388,726,5
1387,952,5
315,1618,3
318,648,3
318,579,3
319,1931,3
319,1994,3
1385,2071,5
320,1004,0
320,1874,0
